,pm25,t2m,d2m,u10,v10,sp,t500,t850,t1000,q500,q850,q1000,u500,u850,u1000,v500,v850,v1000,w500,w850,w1000
2014-01-01 08:00:00,51.0,270.4873677781793,258.9802500808164,2.507679542275599,-0.6581560834313863,97997.72895144431,248.55467593570387,270.0205327199998,276.6177888399056,0.00013078252203376113,0.0013016997657464419,0.0012652261072235993,23.04641083808198,10.5486110358775,3.1801560791503665,-20.240968396494747,-9.274819326977767,-0.8197537493298643,-0.3621587661596445,0.2702649752987813,0.2573940167576882
2014-01-01 14:00:00,23.0,283.83861056285576,258.2415201856756,3.154036969301631,-0.050984288867112815,98048.88179619428,249.26421459710772,270.57151525595026,282.83186765663237,0.00019357737742875698,0.0015096372210364577,0.0015566393583081612,23.175371443021266,8.06042995234301,3.0815391459614982,-16.0765331119816,-5.246438036134794,0.1878345226333069,-0.21386693668262155,0.3261617095343858,0.17051504660530953
2014-01-01 20:00:00,66.0,273.00932846079814,261.72340042477254,1.8422179548448572,-1.2484533144822936,98354.61613996002,248.72248116847538,271.40657751667135,282.5055062984075,0.00019545746291962408,0.0016525237183424371,0.001777361394936082,23.576160774058074,6.588761872447612,1.9879026432900897,-10.42437698364025,-6.522190701418888,-1.0849604471362175,-0.11347346006209519,0.10744734975395326,0.19313115947037324
2014-01-02 02:00:00,127.0,270.10117921341276,262.7940662861299,0.3697824806892229,-1.550008014304488,98568.98499801627,248.94313844306464,271.0722883521738,278.7688669418897,0.00018492898417076312,0.0015363344350067861,0.0016374830344154916,18.130736014513843,5.157552021552774,0.03200013504423005,-7.689494531168785,-0.9745398145923083,-2.9492945198195413,0.03389901523342109,-0.05012995695628686,0.1737327862405828
2014-01-02 08:00:00,119.0,268.5542913158674,262.6650347977787,0.382164806877461,-1.082520106600858,98565.14114263044,248.18735424507022,271.5017111919434,275.817080406366,0.00018718508675980537,0.0014257854081437382,0.001610785820445165,17.44421044116058,7.410569649021503,0.22164808348435727,-2.6535249683626416,2.969054204833019,-1.754385531933667,0.0917263932501895,-0.1356298958364055,0.12758120632894893
2014-01-02 14:00:00,108.0,281.02114095084374,262.8058859644522,1.3720433404400425,0.8643045357745534,98220.37688263929,249.59057595533258,273.6408975845185,279.9170775503812,0.00016537609506573486,0.0013926959035044598,0.001548742999246516,22.72021636676496,8.2905361297837,1.4227517569385064,-4.1698368688316805,1.569078327937028,0.8069787836830837,0.04143771952177566,0.06773124911286588,0.04051836534026898
2014-01-02 20:00:00,168.0,274.2543065135123,263.9287554050662,1.9469370563225286,-1.2284538317997853,98300.80216455832,249.18361523333562,272.6208531774351,281.4590358704153,0.0005511696377918773,0.001394952006093502,0.001679596949410939,17.466968194973393,6.941507056546251,2.047325667134663,-1.7376252573511093,-6.50543042683633,-1.026792435349694,-0.1274476436209963,0.2227343641148874,0.17621504253065084
2014-01-03 02:00:00,122.0,273.074404434419,262.62268095045727,1.4633187734847697,-2.884348499528085,98494.76902095128,247.2809417278951,271.58231055571554,278.02497445330425,0.0003624090545087163,0.001310348159004434,0.0016491395644588746,15.81829536320054,2.8729264026773578,2.037211109884524,-3.809983914559119,-11.719847619021468,-4.760390073240623,-0.027513844091223205,0.4671906409775061,0.3257939678617831
2014-01-03 08:00:00,30.0,270.14065152528116,260.1277438512684,0.69667589205871,-2.7971632547090257,98825.04490294967,245.5077557249082,269.0414486453252,273.96725894274334,0.00018568101836710996,0.0012475533036094381,0.0014494744853286775,9.958173756400566,-4.042902117106001,1.0674779335273321,-8.480185132063562,-10.603810511524102,-4.742643900153209,0.0994489683748454,0.0748102763104671,0.31365849266589524
2014-01-03 14:00:00,16.0,280.0578031774068,259.8411166519538,0.031921866124438925,-1.4081366840254455,98795.47678459708,245.3835534266364,267.7928191573799,278.76490303875335,0.0002308030701479464,0.0010948903617509446,0.0015006128106802904,8.070544509593152,0.35060868842364634,0.16096073998351734,-9.105244784142478,-4.878697893823382,-1.4260813298165083,0.15267957548408057,-0.01703320642204742,0.08970381405087485
2014-01-03 20:00:00,57.0,272.71808680836375,261.0339191893078,0.9046989720211114,2.489574995645262,99022.55993354494,245.70595088172493,267.2563709329293,278.2244909111664,0.00018906517225067247,0.0013769031853811675,0.001616426076917768,13.670216267202017,2.4506436374840046,0.6262303734899657,-1.0869322441459301,-1.4556582849621984,3.1297556611246007,-0.09435089308675682,-0.20779919908467764,-0.08662831796210096
2014-01-04 02:00:00,76.0,268.4156048147081,263.1939654026995,0.49891245379513505,2.3386413997757076,99041.48352929059,244.76518453736824,267.2021975900661,273.09387895170437,0.0001969615313123195,0.0014923404345204717,0.0020721587999042064,14.265710825304021,5.315591978586214,0.6489881273027809,-9.560729893386103,1.4734461729659634,2.2937137290064316,-0.05104931113779354,-0.21340725959186824,-0.08276703039977301
2014-01-04 08:00:00,78.0,266.48359517163584,263.7327457395555,-0.05758466317911126,2.579572667716549,98944.20441991059,243.8336673003297,266.87715753288666,271.3960071083078,0.00039286643946078066,0.0015983772562054351,0.00230340931528099,17.82729929700964,6.970586408640404,0.17739689551499538,-11.848014424652792,5.569854460644023,2.492865226987411,0.15019731919401252,-0.3069975152692454,-0.09398315141415414
2014-01-04 14:00:00,170.0,276.4114150161584,266.05235761029763,-0.42091749161684233,1.9205272149445198,98565.43682381396,243.12544993997128,266.928688273659,274.53673969333005,0.0004116672943694621,0.0015743121619223224,0.0020334290387923233,20.43053346926447,6.687378805636479,-0.7442921339040307,-2.4602888614108003,3.182008281881987,2.0768160579380393,-0.14114602092544537,-0.1325040916192829,-0.10161379112065938
