,pm25,t2m,d2m,u10,v10
2016-01-01 08:00:00,106.0,266.1586967634627,262.9427972383516,0.6099996087410431,-0.8544010072534984
2016-01-01 14:00:00,172.0,277.5720134224777,265.85437799839985,0.5399510205904385,0.014326521767953126
2016-01-01 20:00:00,260.0,271.10950285781587,266.58818302757305,1.2315923833905984,-0.007235420499126066
2016-01-02 02:00:00,306.0,266.70461898430466,264.17302875705946,0.8916090843364022,-1.404386781022475
2016-01-02 08:00:00,195.0,266.04201109793917,262.64927522668233,0.8342966031222714,-1.4334485292954948
2016-01-02 14:00:00,210.0,279.45148610644515,266.32224026532236,-0.28754214953210555,-0.8581509102564687
2016-01-02 20:00:00,416.0,273.1285816058918,265.7706552769506,-0.5893171277768812,-1.2762650950876566
2016-01-03 02:00:00,482.0,268.24549487099415,264.8378856626861,-0.1983894009767908,-1.8612499635510227
2016-01-03 08:00:00,178.0,267.09114025135113,264.43109173376195,-0.40216711196036736,-1.3212639311233
2016-01-03 14:00:00,119.0,276.28534559282156,265.8080842583044,-0.042372091004990065,-1.1075194599539935
2016-01-03 20:00:00,239.0,271.41892823871297,266.0425078783624,-0.008762919922629342,-0.4159748478228882
2016-01-04 02:00:00,251.0,268.20382141902144,263.28162801692287,0.5756828761622117,-1.8500002545421117
2016-01-04 08:00:00,10.0,266.34310178844174,259.2461928430671,0.20598199425624375,-1.9918715848211546
2016-01-04 14:00:00,13.0,273.38799884442165,257.91943395139424,0.41223617047746797,-2.089369062898382
2016-01-04 20:00:00,18.0,269.83221155485353,256.7689852613616,-0.14319960425207223,-2.3168631784119134
2016-01-05 02:00:00,9.0,265.6898704287701,252.63997763412135,0.058809202990327325,-1.7165662060197522
2016-01-05 08:00:00,11.0,263.02485317511787,252.04997869120223,0.8778116351552225,-1.34063842997198
2016-01-05 14:00:00,25.0,271.9315116979768,254.32920666100995,2.479730863165005,-0.9312740188143895
2016-01-05 20:00:00,88.0,267.10260045064365,257.2910210539278,2.6028465635509153,-0.32191478083171665
2016-01-06 02:00:00,43.0,264.49592602975315,255.2718260072096,1.182416859385881,-1.4831347440848512
2016-01-06 08:00:00,24.0,264.0406435669517,254.10069288011306,1.2319461641388338,-2.351862273106303
2016-01-06 14:00:00,16.0,274.0308118411001,255.7574177916155,2.6732489324497553,-3.010282742044504
2016-01-06 20:00:00,13.0,269.8790941883228,255.11620024263328,1.4169734954659354,-3.5933926590063847
2016-01-07 02:00:00,12.0,266.054513133531,254.7891891423843,1.6663889229718754,-2.935284681985098
2016-01-07 08:00:00,12.0,264.28026591579453,254.38141024026658,1.8178070832166164,-2.1824916541388113
2016-01-07 14:00:00,15.0,271.8231607228479,255.83424570071014,2.6215969432073902,-2.781226166946402
2016-01-07 20:00:00,15.0,267.01612803780034,255.69536448042368,1.865567484228392,-1.4787598572480525
2016-01-08 02:00:00,12.0,265.43045319024026,254.60105926242176,1.502234655790661,-1.7606275663046531
2016-01-08 08:00:00,8.0,264.1354506701895,254.39815478455643,1.4226339874377016,-2.296551203812491
2016-01-08 14:00:00,9.0,272.7087215772671,255.72195875664875,1.5956327733248004,-1.6328183722867489
2016-01-08 20:00:00,108.0,267.2192861161671,258.0258110562945,2.0251226016825465,0.277132223892788
2016-01-09 02:00:00,117.0,264.06460580183597,256.98961925671034,1.9929285535931274,-0.9015872867075413
2016-01-09 08:00:00,21.0,263.3561571183006,256.013510821931,1.2896124261012,-1.5715699565715673
2016-01-09 14:00:00,42.0,275.76963662465977,257.34125468679736,0.9927903783317196,-0.08754584314607317
2016-01-09 20:00:00,122.0,272.1940544454046,260.1632028862352,1.2177949342094188,-0.08223348055853186
2016-01-10 02:00:00,56.0,266.850476066209,258.77143576378995,0.48369988162101385,-2.3574871276107583
2016-01-10 08:00:00,20.0,267.03383925488873,255.219622427953,-0.9264701808451944,-3.0549690861632333
2016-01-10 14:00:00,58.0,272.8306164242872,257.6150772345962,-1.3563137899511761,-1.4481356493904618
2016-01-10 20:00:00,67.0,268.7966262733327,258.5773960446663,-0.5804726090709968,-0.5606586053541587
2016-01-11 02:00:00,11.0,265.52213478458015,254.25828859107645,0.7911353518375557,-2.526545254661336
2016-01-11 08:00:00,11.0,262.12783212140613,251.65401946740675,0.9881912286046597,-2.5096706911479694
2016-01-11 14:00:00,10.0,268.9643619175227,252.66755688353993,1.2277007951600094,-2.7252901138187617
2016-01-11 20:00:00,20.0,264.4865495030593,252.6429325537019,1.5864344738706806,-2.1406177372723096
2016-01-12 02:00:00,13.0,261.45480587204753,250.2435378542846,1.372397121188278,-2.0699945640497024
2016-01-12 08:00:00,10.0,259.70868823439264,249.7993149440066,1.7336072651365968,-2.2249905548391413
2016-01-12 14:00:00,8.0,269.70823303523485,252.26667279377685,2.485745135885006,-3.343711617391946
2016-01-12 20:00:00,23.0,265.3064746706216,251.9839854872363,2.153898794040223,-1.123144055799703
2016-01-13 02:00:00,13.0,262.827946114547,250.71041514801357,1.9557815750284129,-1.1956421805237953
2016-01-13 08:00:00,16.0,261.95697096831816,250.05737792070911,1.516385885720076,-1.7600025824708248
2016-01-13 14:00:00,13.0,273.58073855979524,251.29745917135213,2.29647243557908,-1.9374979912780854
2016-01-13 20:00:00,33.0,267.6714430700706,253.24967604091088,2.608860836270917,-1.6243810905300657
2016-01-14 02:00:00,35.0,265.9795009199802,253.6111612029331,1.1481001268070496,-1.2940771343517654
2016-01-14 08:00:00,69.0,263.8416528337822,253.0960202227216,1.6157982759742167,-1.239078556974868
2016-01-14 14:00:00,91.0,276.12073545752946,253.93423241040801,2.2763069329296632,-0.2884781457218981
2016-01-14 20:00:00,104.0,269.70406569003757,255.70521421235887,2.9824533064074736,0.803368611976286
2016-01-15 02:00:00,171.0,266.0670151691228,255.8322757543231,1.2029361427835332,-1.7846894439070458
2016-01-15 08:00:00,93.0,263.9343762644214,254.24942383233474,0.23428445411507393,-1.4506355847257753
2016-01-15 14:00:00,57.0,275.8696529093942,258.0908192870669,-0.8815400258193017,0.18525960032001576
2016-01-15 20:00:00,106.0,270.68651732029326,260.18979716246025,-2.4502038634949583,1.0902361917035135
2016-01-16 02:00:00,135.0,269.3696362379569,262.7497424924215,-2.003732559221914,-0.09442066531818538
2016-01-16 08:00:00,89.0,268.4048958247896,262.7911113665494,-1.521883180125332,-0.430349476000941
2016-01-16 14:00:00,112.0,272.1732177194183,263.7504752570389,-2.2757899546149183,-0.04598441819648569
2016-01-16 20:00:00,149.0,269.63843000318064,264.61823664053094,-1.979321687593673,1.0064883579705106
2016-01-17 02:00:00,127.0,266.71712101989647,260.3336032487143,-1.0651522341534618,-1.121269104298218
2016-01-17 08:00:00,20.0,264.51884642833807,258.6650586588897,0.41223617047746797,-2.9740336796824574
2016-01-17 14:00:00,16.0,267.3495156535817,253.6022964441914,1.1289959664023397,-3.454646247896484
2016-01-17 20:00:00,17.0,263.9604221719043,253.69291397799535,0.2990263310421477,-2.071244531717359
2016-01-18 02:00:00,3.0,261.21414168690535,249.01527628196385,1.8298356286566193,-3.159028894495659
2016-01-18 08:00:00,10.0,258.93252019140164,246.26424615245952,2.6053230287885634,-3.868073053973959
2016-01-18 14:00:00,12.0,266.0847263862112,249.60626019807648,4.0455644548547784,-5.106791012621812
2016-01-18 20:00:00,12.0,263.38845404357943,250.38635896734516,1.316853543715324,-2.2790516564652963
2016-01-19 02:00:00,20.0,259.6107556222569,250.34794501279782,1.197275650811767,-2.810287915219422
2016-01-19 08:00:00,22.0,257.72607375679286,250.8010326818175,0.2629406947221393,-1.7796895732364186
2016-01-19 14:00:00,118.0,270.4562714981443,252.29917690916304,1.632072190393044,0.5399379260176227
2016-01-19 20:00:00,101.0,265.90344687013004,254.28586784049503,0.512002341479844,1.5055379492824739
2016-01-20 02:00:00,156.0,262.992556249839,254.36072580320263,0.45115205278335924,-0.9715854760963202
2016-01-20 08:00:00,118.0,263.6614151540004,254.74092545590176,-0.6632573041580747,-2.0143710028389763
2016-01-20 14:00:00,138.0,270.28124299985905,256.80838418910247,-0.6929748870098463,0.49431410614815086
2016-01-20 20:00:00,137.0,266.9004842085762,258.8945574129801,-1.5657519929065187,1.363666619003431
2016-01-21 02:00:00,104.0,266.0795172047146,260.42126586293773,-0.7870805660404563,-0.554721258932789
2016-01-21 08:00:00,82.0,264.3156883499713,260.5926511986104,-1.3874464957958892,-1.3790749357524255
2016-01-21 14:00:00,157.0,269.8926380602139,261.5342855716165,-0.25888590892504015,-1.3550130581500328
2016-01-21 20:00:00,144.0,267.1578177745074,260.6714490540921,-0.9540650792075538,-0.3812882450454129
2016-01-22 02:00:00,5.0,263.7218416593608,255.59391224149098,0.9291098436493521,-1.868437277640049
2016-01-22 08:00:00,5.0,259.97852383591567,244.51296381437908,3.187646140383992,-6.559253442438974
2016-01-22 14:00:00,3.0,262.07261479754237,246.65429553709384,2.6569750180309275,-5.806460414592687
2016-01-22 20:00:00,6.0,259.11484154378206,245.1364518458779,1.483484276134186,-3.3952727836827874
2016-01-23 02:00:00,17.0,256.8561404468633,243.52011083530985,0.5109409992351377,-2.0378078966075406
2016-01-23 08:00:00,5.0,255.30692986977934,241.6614664191356,2.8423561301062645,-5.282411469927588
2016-01-23 14:00:00,5.0,257.9031859276767,242.23964568373248,3.3157147712451978,-7.62360091144871
2016-01-23 20:00:00,8.0,255.8705633077097,242.05545569654402,3.2920114611134275,-7.038616042985343
2016-01-24 02:00:00,8.0,255.24546152811965,243.02466931896873,2.5250147989391327,-3.993069820739635
2016-01-24 08:00:00,7.0,255.9455755212605,245.11576740881395,3.6298720756782115,-3.2696510330832824
2016-01-24 14:00:00,11.0,266.9036097174741,250.36862944986177,4.633194277673738,-4.709613786223876
2016-01-24 20:00:00,37.0,264.9293299302689,250.30263624589585,2.1896306496119964,-2.9480968505785796
2016-01-25 02:00:00,14.0,261.6829680215979,250.21300368528546,1.6670964844683462,-1.7221910605242075
2016-01-25 08:00:00,13.0,260.2556522915339,250.47894644753615,1.984791596383714,-1.8271883446073758
2016-01-25 14:00:00,15.0,273.23068156322483,252.41343379961148,3.254864482548713,-2.1249931414266
2016-01-25 20:00:00,82.0,267.0786382157594,253.27627031713595,2.5780819111744395,-0.850338612333614
2016-01-26 02:00:00,22.0,263.50097236390565,250.06033284028968,1.9554277942801774,-2.3278003955039104
2016-01-26 08:00:00,20.0,261.6360853881286,248.3592841350788,1.5471648108165539,-2.4715466772844383
2016-01-26 14:00:00,18.0,272.9358418905182,252.34251572967798,2.54588786308502,-2.0262456956817156
2016-01-26 20:00:00,89.0,267.26304324073845,253.83278017147535,2.8901165311180406,0.7452451154302464
2016-01-27 02:00:00,111.0,262.0080209469847,254.004165507148,0.8236831806752103,-1.0715828895088615
2016-01-27 08:00:00,32.0,260.2389829107449,253.37575260968157,0.43240167312688427,-1.2125167440371616
2016-01-27 14:00:00,63.0,274.4558810512213,255.21371258879188,-0.40570491944272113,1.9824006144935296
2016-01-27 20:00:00,150.0,268.04233679262734,255.94259275199744,-1.0998227474805287,2.5989471665652286
2016-01-28 02:00:00,291.0,266.95986887763723,256.8103541354895,-0.2974480104826962,-0.9825226931883169
2016-01-28 08:00:00,138.0,265.3418971047983,256.1267827391859,-0.006994016181452567,-2.1746793562159565
2016-01-28 14:00:00,126.0,275.40499391989886,256.48432800843403,-0.7966326462428115,-2.199991201486006
2016-01-28 20:00:00,73.0,270.4479368077497,257.11175593270696,-2.0716584628831063,-2.0928064739844383
2016-01-29 02:00:00,62.0,266.21391408732643,255.26591616804848,-0.850761100722824,-1.0600206885830363
2016-01-29 08:00:00,54.0,264.19900268444786,253.44962559919566,-1.8721261208783542,-1.1828300119303135
2016-01-29 14:00:00,44.0,269.9645247648668,254.59416445006713,-2.0606912596878093,0.9955511408785136
2016-01-29 20:00:00,47.0,265.6304857597091,255.32501455965973,-1.1872065922946664,2.035524240368942
2016-01-30 02:00:00,31.0,263.80831407220404,254.50256194306965,-1.1298941110805356,0.08026231623684765
2016-01-30 08:00:00,84.0,262.7008420860304,254.08099341624265,-0.6190347106286528,-1.2468908548977227
2016-01-30 14:00:00,28.0,268.31633973934765,254.9261004162837,0.6301651113904594,-0.7237793859833666
2016-01-30 20:00:00,93.0,265.21687674888034,255.51806930558988,1.6578981850142265,0.11619888668197964
2016-01-31 02:00:00,10.0,261.35791509621106,251.7879758217256,1.0692070199505608,-1.567507561651683
2016-01-31 08:00:00,6.0,260.2223135299558,248.46566123997908,1.2036437042800037,-1.688441933497475
2016-01-31 14:00:00,3.0,271.91588415348707,253.02510215278807,2.291165724355549,-2.3431124994327055
2016-01-31 20:00:00,89.0,267.2807544578268,255.2294721598882,2.455673772284999,-1.4837597279186796
2016-02-01 02:00:00,13.0,265.0751870121732,254.63356337780797,1.3119006132400286,-2.0012463423285802
2016-02-01 08:00:00,8.0,263.20925820009694,253.33832362832777,1.6844317411318794,-1.9081237510881515
2016-02-01 14:00:00,6.0,274.71946563494845,254.59613439645415,2.8182990392262597,-3.8468236036237937
2016-02-01 20:00:00,13.0,268.91852112035275,255.55352834055662,1.6037697305342138,-1.9215609035154615
2016-02-02 02:00:00,16.0,266.3326834254486,255.03050757479696,1.5075413670141917,-1.6340683399544056
2016-02-02 08:00:00,13.0,263.96250584450297,254.32822168781644,1.469333046204771,-2.3874863516345206
2016-02-02 14:00:00,22.0,275.68837339331304,255.04429719950625,1.874058222186041,-1.453135520061089
2016-02-02 20:00:00,74.0,269.1248047076175,255.99873622402816,2.082788863644913,-0.4475365314312214
2016-02-03 02:00:00,23.0,265.4450388984307,255.57322780442706,1.4208650836965244,-1.5571953283935145
2016-02-03 08:00:00,24.0,264.9355809480648,255.37623316572285,1.2584797202564872,-1.7643774693076233
2016-02-03 14:00:00,47.0,278.3440141202714,254.29768751881727,2.5879877721250293,-0.9684605569271783
2016-02-03 20:00:00,78.0,270.9053029431498,255.02952260160342,1.4626112119882988,-2.2937387765602635
2016-02-04 02:00:00,10.0,271.0855406229316,253.32748892319904,0.7723849721810807,-1.842187956619257
2016-02-04 08:00:00,7.0,268.95394355452953,254.51142670181136,0.688892715597532,-2.172491912797557
2016-02-04 14:00:00,10.0,276.27284355722975,254.9911086470561,1.4873758643647754,-2.2565522384474743
2016-02-04 20:00:00,15.0,270.932390686932,255.49344497575186,1.3479862495600372,-2.3234255086671114
2016-02-05 02:00:00,13.0,269.9228513128941,253.76481702112238,1.7084888320118852,-2.6040432500560553
2016-02-05 08:00:00,9.0,267.9329439811991,253.13541915046244,2.6180591357250367,-3.675265541237903
2016-02-05 14:00:00,9.0,274.64966260289424,254.96943923679865,3.05002542932043,-5.362721892574536
2016-02-05 20:00:00,16.0,271.8189933776506,255.65793549906988,1.713087981738945,-3.78838761516084
2016-02-06 02:00:00,5.0,268.715363041986,255.86477986970928,1.1675580679599955,-2.351862273106303
2016-02-06 08:00:00,8.0,267.3620176891735,256.7069319501698,1.680186372153055,-1.9234358550169466
2016-02-06 14:00:00,31.0,277.66994603461353,255.67468004335973,2.8986072690756894,-2.108118577913234
2016-02-06 20:00:00,68.0,271.45018332769246,256.9078664816481,2.5540248202944333,-0.9606482590043235
